Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: REACTION | Has Answer: true | Answer: Spyglass
Game Ending: REACTION | Has Winner: false | Answer: Spyglass
Game Starting: MATH | Has Answer: true | Answer: 93
Game Ending: MATH | Has Winner: false | Answer: 93
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Quartz
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Quartz
Race Starting: CRAFT | Material: FURNACE | Amount: 4
Game Starting: FILLOUT | Has Answer: true | Answer: Lantern
Game Ending: FILLOUT | Has Winner: false | Answer: Lantern
Game Starting: RANDOM | Has Answer: true | Answer: 7Pt8O277
Game Ending: RANDOM | Has Winner: false | Answer: 7Pt8O277
Game Starting: HOVERABLE | Has Answer: true | Answer: Piston
Game Ending: HOVERABLE | Has Winner: false | Answer: Piston
Game Starting: MATH | Has Answer: true | Answer: 4
Game Ending: MATH | Has Winner: false | Answer: 4
Game Starting: FILLOUT | Has Answer: true | Answer: Arrow
Game Ending: FILLOUT | Has Winner: false | Answer: Arrow
Game Starting: FILLOUT | Has Answer: true | Answer: Axolotl
Game Ending: FILLOUT | Has Winner: false | Answer: Axolotl
Game Starting: CLICKABLE | Has Answer: true | Answer: 92m6rzxTapcB
Game Ending: CLICKABLE | Has Winner: false | Answer: 92m6rzxTapcB
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Gingerbread Man, Snow Globe, Jingle Bells
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Gingerbread Man, Snow Globe, Jingle Bells
Game Starting: RANDOM | Has Answer: true | Answer: 722WJSgA
Game Ending: RANDOM | Has Winner: false | Answer: 722WJSgA
Race Starting: MINE | Material: SAND | Amount: 16
Game Starting: FILLOUT | Has Answer: true | Answer: Soul Sand
Game Ending: FILLOUT | Has Winner: false | Answer: Soul Sand
Game Starting: VARIABLE | Has Answer: true | Answer: 5
Game Ending: VARIABLE | Has Winner: false | Answer: 5
Game Starting: CLICKABLE | Has Answer: true | Answer: NEKkyQGneTss
Game Ending: CLICKABLE | Has Winner: false | Answer: NEKkyQGneTss
Game Starting: HOVERABLE | Has Answer: true | Answer: Crossbow
Game Ending: HOVERABLE | Has Winner: false | Answer: Crossbow
Game Starting: FILLOUT | Has Answer: true | Answer: Obsidian
Game Ending: FILLOUT | Has Winner: false | Answer: Obsidian
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 3
Game Starting: RANDOM | Has Answer: true | Answer: UmvjYzWy
Game Ending: RANDOM | Has Winner: false | Answer: UmvjYzWy
Game Starting: CLICKABLE | Has Answer: true | Answer: rSbyvlU92j1d
Game Ending: CLICKABLE | Has Winner: false | Answer: rSbyvlU92j1d
Race Starting: FISH | Material: SALMON | Amount: 1
Race Starting: HUNT | Entity: COW | Amount: 3
Race Starting: PLACE | Material: TORCH | Amount: 32
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 14
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 14
Game Starting: REACTION | Has Answer: true | Answer: Dispenser
Game Ending: REACTION | Has Winner: false | Answer: Dispenser
Game Starting: HOVERABLE | Has Answer: true | Answer: Cow
Game Ending: HOVERABLE | Has Winner: false | Answer: Cow
Game Starting: VARIABLE | Has Answer: true | Answer: 9
Game Ending: VARIABLE | Has Winner: false | Answer: 9
Game Starting: FILLOUT | Has Answer: true | Answer: Feather
Game Ending: FILLOUT | Has Winner: false | Answer: Feather
Game Starting: UNREVERSE | Has Answer: true | Answer: Torch
Game Ending: UNREVERSE | Has Winner: false | Answer: Torch
Game Starting: VARIABLE | Has Answer: true | Answer: 74
Game Ending: VARIABLE | Has Winner: false | Answer: 74
Race Starting: EAT | Material: COOKED_BEEF | Amount: 1
Game Starting: REACTION | Has Answer: true | Answer: Button
Game Ending: REACTION | Has Winner: false | Answer: Button
Game Starting: REACTION | Has Answer: true | Answer: Ancient Debris
Game Ending: REACTION | Has Winner: false | Answer: Ancient Debris
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 3
Game Ending: GUESS_THE_NUMBER | Has Winner: true | Winners: ItzDavidVZLA_(Time: 17.84s) | Answer: 3
Race Starting: EAT | Material: COOKED_BEEF | Amount: 1
Game Starting: RANDOM | Has Answer: true | Answer: twQa4kT0
Game Ending: RANDOM | Has Winner: false | Answer: twQa4kT0
Race Starting: PLACE | Material: TORCH | Amount: 32
Game Starting: REACTION | Has Answer: true | Answer: Crying Obsidian
Game Ending: REACTION | Has Winner: false | Answer: Crying Obsidian
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 6
Game Starting: CLICKABLE | Has Answer: true | Answer: FnOe6YSZxa1k
Game Ending: CLICKABLE | Has Winner: false | Answer: FnOe6YSZxa1k
Game Starting: HOVERABLE | Has Answer: true | Answer: Cow
Game Ending: HOVERABLE | Has Winner: true | Winners: ItzDavidVZLA_(Time: 7.69s) | Answer: Cow
Game Starting: UNREVERSE | Has Answer: true | Answer: Gold
Game Ending: UNREVERSE | Has Winner: false | Answer: Gold
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 3
Game Starting: FILLOUT | Has Answer: true | Answer: Mending
Game Ending: FILLOUT | Has Winner: false | Answer: Mending
Game Starting: HOVERABLE | Has Answer: true | Answer: Pickaxe
Game Ending: HOVERABLE | Has Winner: false | Answer: Pickaxe
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Mistletoe, Stocking, Snowman
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Mistletoe, Stocking, Snowman
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 9
Race Starting: MINE | Material: STONE | Amount: 16
Game Starting: HOVERABLE | Has Answer: true | Answer: End Portal
Game Ending: HOVERABLE | Has Winner: false | Answer: End Portal
Race Starting: MINE | Material: GRASS_BLOCK | Amount: 32
Game Starting: RANDOM | Has Answer: true | Answer: zCZThUVx
Game Ending: RANDOM | Has Winner: false | Answer: zCZThUVx
Race Starting: FURNACE | Material: COOKED_COD | Amount: 6
Game Starting: RANDOM | Has Answer: true | Answer: SJzSiB
Game Ending: RANDOM | Has Winner: false | Answer: SJzSiB
Game Starting: HOVERABLE | Has Answer: true | Answer: Button
Game Ending: HOVERABLE | Has Winner: false | Answer: Button
Game Starting: MATH | Has Answer: true | Answer: 115
Game Ending: MATH | Has Winner: true | Winners: ItzDavidVZLA_(Time: 5.22s) | Answer: 115
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Stocking, Reindeer, Sleigh
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Stocking, Reindeer, Sleigh
Game Starting: TRIVIA | Has Answer: true | Answer: •16
Game Ending: TRIVIA | Has Winner: false | Answer: •16
Game Starting: FILLOUT | Has Answer: true | Answer: Observer
Game Ending: FILLOUT | Has Winner: false | Answer: Observer
Game Starting: FILLOUT | Has Answer: true | Answer: Grindstone
Game Ending: FILLOUT | Has Winner: false | Answer: Grindstone
Game Starting: REACTION | Has Answer: true | Answer: Dispenser
Game Ending: REACTION | Has Winner: false | Answer: Dispenser
Game Starting: REACTION | Has Answer: true | Answer: Elytra
Game Ending: REACTION | Has Winner: false | Answer: Elytra
Race Starting: CRAFT | Material: CHEST | Amount: 8
Game Starting: FILLOUT | Has Answer: true | Answer: Jukebox
Game Ending: FILLOUT | Has Winner: false | Answer: Jukebox
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Leather
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Leather
Race Starting: EAT | Material: COOKED_BEEF | Amount: 2
Game Starting: RANDOM | Has Answer: true | Answer: L04zXmx
Game Ending: RANDOM | Has Winner: false | Answer: L04zXmx
Race Starting: PLACE | Material: NETHERRACK | Amount: 32
Game Starting: VARIABLE | Has Answer: true | Answer: 64
Game Ending: VARIABLE | Has Winner: false | Answer: 64
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 12
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 12
Race Starting: CRAFT | Material: CHEST | Amount: 2
Game Starting: CLICKABLE | Has Answer: true | Answer: 6A2TkN6Z2hqx
Game Ending: CLICKABLE | Has Winner: false | Answer: 6A2TkN6Z2hqx
Game Starting: REACTION | Has Answer: true | Answer: Observer
Game Ending: REACTION | Has Winner: false | Answer: Observer
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 6
Game Starting: RANDOM | Has Answer: true | Answer: yKaFf7G4
Game Ending: RANDOM | Has Winner: false | Answer: yKaFf7G4
Race Starting: MINE | Material: STONE | Amount: 32
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 7
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 7
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Game Starting: RANDOM | Has Answer: true | Answer: MBH5CH
Game Ending: RANDOM | Has Winner: false | Answer: MBH5CH
Game Starting: HOVERABLE | Has Answer: true | Answer: Coal
Game Ending: HOVERABLE | Has Winner: false | Answer: Coal
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 1
Race Starting: FISH | Material: PUFFERFISH | Amount: 1
Race Starting: FURNACE | Material: COOKED_COD | Amount: 6
Game Starting: FILLOUT | Has Answer: true | Answer: Prismarine
Game Ending: FILLOUT | Has Winner: false | Answer: Prismarine
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Christmas Tree, Ribbon, Gingerbread Man
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Christmas Tree, Ribbon, Gingerbread Man
Game Starting: FILLOUT | Has Answer: true | Answer: Biome
Game Ending: FILLOUT | Has Winner: false | Answer: Biome
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 18
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 18
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Game Starting: FILLOUT | Has Answer: true | Answer: Froglight
Game Ending: FILLOUT | Has Winner: false | Answer: Froglight
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Ornaments, Wreath, Snowman
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Ornaments, Wreath, Snowman
Race Starting: CRAFT | Material: CHEST | Amount: 8
Race Starting: HUNT | Entity: ZOMBIE | Amount: 3
Race Starting: HUNT | Entity: CREEPER | Amount: 5
Game Starting: RANDOM | Has Answer: true | Answer: jzfksr
Game Ending: RANDOM | Has Winner: false | Answer: jzfksr
Race Starting: PLACE | Material: SAND | Amount: 16
Game Starting: REACTION | Has Answer: true | Answer: Pufferfish
Game Ending: REACTION | Has Winner: false | Answer: Pufferfish
Game Starting: TRIVIA | Has Answer: true | Answer: •4
Game Ending: TRIVIA | Has Winner: false | Answer: •4
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 6
Game Starting: FILLOUT | Has Answer: true | Answer: Mangrove
Game Ending: FILLOUT | Has Winner: false | Answer: Mangrove
Race Starting: EAT | Material: COOKED_BEEF | Amount: 2
Race Starting: EAT | Material: COOKED_BEEF | Amount: 1
Race Starting: HUNT | Entity: SHEEP | Amount: 5
Game Starting: TRIVIA | Has Answer: true | Answer: •Charcoal
Game Ending: TRIVIA | Has Winner: false | Answer: •Charcoal
Game Starting: MATH | Has Answer: true | Answer: 112
Game Ending: MATH | Has Winner: false | Answer: 112
Race Starting: PLACE | Material: NETHERRACK | Amount: 32
Race Starting: FURNACE | Material: COOKED_COD | Amount: 9
Race Starting: FURNACE | Material: COOKED_COD | Amount: 9
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 6
Race Starting: CRAFT | Material: CHEST | Amount: 8
Game Starting: VARIABLE | Has Answer: true | Answer: 29
Game Ending: VARIABLE | Has Winner: false | Answer: 29
Game Starting: RANDOM | Has Answer: true | Answer: GD0Xu1j
Game Ending: RANDOM | Has Winner: false | Answer: GD0Xu1j
Game Starting: CLICKABLE | Has Answer: true | Answer: 6w4fLeRBxiAu
Game Ending: CLICKABLE | Has Winner: false | Answer: 6w4fLeRBxiAu
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Hot Cocoa, Snowman, Snow Globe
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Hot Cocoa, Snowman, Snow Globe
Race Starting: PLACE | Material: DIRT | Amount: 16
Game Starting: FILLOUT | Has Answer: true | Answer: Prismarine
Game Ending: FILLOUT | Has Winner: false | Answer: Prismarine
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 11
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 11
Game Starting: FILLOUT | Has Answer: true | Answer: Composter
Game Ending: FILLOUT | Has Winner: false | Answer: Composter
Game Starting: MATH | Has Answer: true | Answer: 154
Game Ending: MATH | Has Winner: false | Answer: 154
Game Starting: UNREVERSE | Has Answer: true | Answer: Dispenser
Game Ending: UNREVERSE | Has Winner: false | Answer: Dispenser
Game Starting: VARIABLE | Has Answer: true | Answer: 37
Game Ending: VARIABLE | Has Winner: false | Answer: 37
Race Starting: HUNT | Entity: PIG | Amount: 3
Game Starting: RANDOM | Has Answer: true | Answer: VNR770
Game Ending: RANDOM | Has Winner: false | Answer: VNR770
Race Starting: HUNT | Entity: CHICKEN | Amount: 5
Game Starting: VARIABLE | Has Answer: true | Answer: 18
Game Ending: VARIABLE | Has Winner: false | Answer: 18
Game Starting: FILLOUT | Has Answer: true | Answer: Prismarine
Game Ending: FILLOUT | Has Winner: false | Answer: Prismarine
Game Starting: MATH | Has Answer: true | Answer: 3432
Game Ending: MATH | Has Winner: false | Answer: 3432
Game Starting: HOVERABLE | Has Answer: true | Answer: Ender Pearl
Game Ending: HOVERABLE | Has Winner: false | Answer: Ender Pearl
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 9
Game Starting: MATH | Has Answer: true | Answer: 24
Game Ending: MATH | Has Winner: false | Answer: 24
Game Starting: UNREVERSE | Has Answer: true | Answer: Shroomlight
Game Ending: UNREVERSE | Has Winner: false | Answer: Shroomlight
Race Starting: MINE | Material: SAND | Amount: 16
Game Starting: UNREVERSE | Has Answer: true | Answer: Prismarine
Game Ending: UNREVERSE | Has Winner: false | Answer: Prismarine
Game Starting: HOVERABLE | Has Answer: true | Answer: Skeleton
Game Ending: HOVERABLE | Has Winner: false | Answer: Skeleton
Game Starting: MATH | Has Answer: true | Answer: 72
Game Ending: MATH | Has Winner: false | Answer: 72
Race Starting: HUNT | Entity: CHICKEN | Amount: 3
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Santa Hat, Sleigh, Gingerbread Man
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Santa Hat, Sleigh, Gingerbread Man
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 6
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 6
Game Starting: TRIVIA | Has Answer: true | Answer: •16
Game Ending: TRIVIA | Has Winner: false | Answer: •16
Game Starting: HOVERABLE | Has Answer: true | Answer: Sword
Game Ending: HOVERABLE | Has Winner: false | Answer: Sword
Game Starting: FILLOUT | Has Answer: true | Answer: Ender Pearl
Game Ending: FILLOUT | Has Winner: false | Answer: Ender Pearl
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Nutcracker, Jingle Bells, Christmas Lights
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Nutcracker, Jingle Bells, Christmas Lights
Game Starting: FILLOUT | Has Answer: true | Answer: Pigstep
Game Ending: FILLOUT | Has Winner: false | Answer: Pigstep
Game Starting: CLICKABLE | Has Answer: true | Answer: sRKzxwKXCHEB
Game Ending: CLICKABLE | Has Winner: false | Answer: sRKzxwKXCHEB
Game Starting: REACTION | Has Answer: true | Answer: Chorus
Game Ending: REACTION | Has Winner: false | Answer: Chorus
Race Starting: PLACE | Material: DIRT | Amount: 32
Race Starting: CRAFT | Material: TORCH | Amount: 32
Race Starting: PLACE | Material: COBBLESTONE | Amount: 32
Race Starting: MINE | Material: NETHERRACK | Amount: 16
Race Starting: PLACE | Material: SAND | Amount: 32
Game Starting: RANDOM | Has Answer: true | Answer: 9QJnu2Pp
Game Ending: RANDOM | Has Winner: false | Answer: 9QJnu2Pp
Game Starting: RANDOM | Has Answer: true | Answer: J2y0Ad
Game Ending: RANDOM | Has Winner: false | Answer: J2y0Ad
Race Starting: MINE | Material: NETHERRACK | Amount: 16
Game Starting: TRIVIA | Has Answer: true | Answer: •Bedrock
Game Ending: TRIVIA | Has Winner: false | Answer: •Bedrock
Game Starting: MATH | Has Answer: true | Answer: 81
Game Ending: MATH | Has Winner: false | Answer: 81
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 8
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 8
Game Starting: UNREVERSE | Has Answer: true | Answer: Hopper
Game Ending: UNREVERSE | Has Winner: false | Answer: Hopper
Game Starting: TRIVIA | Has Answer: true | Answer: •8
Game Ending: TRIVIA | Has Winner: false | Answer: •8
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Sleigh, Tinsel, Jingle Bells
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Sleigh, Tinsel, Jingle Bells
Game Starting: UNREVERSE | Has Answer: true | Answer: Saddle
Game Ending: UNREVERSE | Has Winner: false | Answer: Saddle
Game Starting: MATH | Has Answer: true | Answer: 102
Game Ending: MATH | Has Winner: false | Answer: 102
Race Starting: FISH | Material: SALMON | Amount: 3
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Game Starting: UNREVERSE | Has Answer: true | Answer: Cow
Game Ending: UNREVERSE | Has Winner: false | Answer: Cow
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Coal
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Coal
Game Starting: MATH | Has Answer: true | Answer: 33
Game Ending: MATH | Has Winner: false | Answer: 33
Game Starting: HOVERABLE | Has Answer: true | Answer: Crafting
Game Ending: HOVERABLE | Has Winner: false | Answer: Crafting
Game Starting: TRIVIA | Has Answer: true | Answer: •Survival
Game Ending: TRIVIA | Has Winner: false | Answer: •Survival
Race Starting: EAT | Material: COOKED_BEEF | Amount: 2
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 5
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 5
Game Starting: HOVERABLE | Has Answer: true | Answer: Enderman
Game Ending: HOVERABLE | Has Winner: true | Winners: ItzDavidVZLA_(Time: 4.82s) | Answer: Enderman
Race Starting: PLACE | Material: COBBLESTONE | Amount: 16
Race Starting: MINE | Material: DIRT | Amount: 16
Game Starting: CLICKABLE | Has Answer: true | Answer: owpkDssZdrUg
Game Ending: CLICKABLE | Has Winner: false | Answer: owpkDssZdrUg
Game Starting: VARIABLE | Has Answer: true | Answer: 54
Game Ending: VARIABLE | Has Winner: false | Answer: 54
Game Starting: VARIABLE | Has Answer: true | Answer: 53
Game Ending: VARIABLE | Has Winner: false | Answer: 53
Game Starting: HOVERABLE | Has Answer: true | Answer: Creeper
Game Ending: HOVERABLE | Has Winner: false | Answer: Creeper
Race Starting: MINE | Material: DIORITE | Amount: 16
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Hot Cocoa, Tinsel, Mistletoe
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Hot Cocoa, Tinsel, Mistletoe
Game Starting: TRIVIA | Has Answer: true | Answer: •Warden
Game Ending: TRIVIA | Has Winner: false | Answer: •Warden
Game Starting: MATH | Has Answer: true | Answer: 6720
Game Ending: MATH | Has Winner: false | Answer: 6720
Game Starting: FILLOUT | Has Answer: true | Answer: Nether Wart
Game Ending: FILLOUT | Has Winner: false | Answer: Nether Wart
Game Starting: CLICKABLE | Has Answer: true | Answer: 7unnd5smPjYo
Game Ending: CLICKABLE | Has Winner: false | Answer: 7unnd5smPjYo
Game Starting: CLICKABLE | Has Answer: true | Answer: YTNISUf2e1s1
Game Ending: CLICKABLE | Has Winner: false | Answer: YTNISUf2e1s1
Game Starting: UNREVERSE | Has Answer: true | Answer: Glowstone
Game Ending: UNREVERSE | Has Winner: true | Winners: ItzDavidVZLA_(Time: 6.68s) | Answer: Glowstone
Race Starting: FURNACE | Material: GOLD_INGOT | Amount: 3
Game Starting: TRIVIA | Has Answer: true | Answer: •Fish
Game Ending: TRIVIA | Has Winner: false | Answer: •Fish
Game Starting: TRIVIA | Has Answer: true | Answer: •Charcoal
Game Ending: TRIVIA | Has Winner: false | Answer: •Charcoal
Race Starting: PLACE | Material: NETHERRACK | Amount: 32
Game Starting: FILLOUT | Has Answer: true | Answer: Nether Wart
Game Ending: FILLOUT | Has Winner: false | Answer: Nether Wart
Game Starting: HOVERABLE | Has Answer: true | Answer: Axolotl
Game Ending: HOVERABLE | Has Winner: false | Answer: Axolotl
Race Starting: EAT | Material: COOKED_CHICKEN | Amount: 1
Race Starting: EAT | Material: GOLDEN_APPLE | Amount: 1
Game Starting: TRIVIA | Has Answer: true | Answer: •Nether
Game Ending: TRIVIA | Has Winner: false | Answer: •Nether
Race Starting: FURNACE | Material: IRON_INGOT | Amount: 9
Game Starting: TRIVIA | Has Answer: true | Answer: •Cookie
Game Ending: TRIVIA | Has Winner: false | Answer: •Cookie
Game Starting: VARIABLE | Has Answer: true | Answer: -16
Game Ending: VARIABLE | Has Winner: false | Answer: -16
Game Starting: UNREVERSE | Has Answer: true | Answer: Spyglass
Game Ending: UNREVERSE | Has Winner: false | Answer: Spyglass
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Elytra
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Elytra
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Reindeer, Snowman, Hot Cocoa
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Reindeer, Snowman, Hot Cocoa
Game Starting: MATH | Has Answer: true | Answer: 6035
Game Ending: MATH | Has Winner: false | Answer: 6035
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Enderman
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Enderman
Race Starting: FISH | Material: BOWL | Amount: 1
Race Starting: CRAFT | Material: CRAFTING_TABLE | Amount: 4
Game Starting: CLICKABLE | Has Answer: true | Answer: XbzHndmJLxiz
Game Ending: CLICKABLE | Has Winner: false | Answer: XbzHndmJLxiz
Race Starting: FURNACE | Material: COOKED_COD | Amount: 6
Game Starting: CLICKABLE | Has Answer: true | Answer: quljjDq48o9c
Game Ending: CLICKABLE | Has Winner: false | Answer: quljjDq48o9c
Game Starting: UNREVERSE | Has Answer: true | Answer: Shovel
Game Ending: UNREVERSE | Has Winner: false | Answer: Shovel
Game Starting: CLICKABLE | Has Answer: true | Answer: FtwoFOLxOXUK
Game Ending: CLICKABLE | Has Winner: false | Answer: FtwoFOLxOXUK
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Dropper
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Dropper
Game Starting: TRIVIA | Has Answer: true | Answer: •4
Game Ending: TRIVIA | Has Winner: false | Answer: •4
Game Starting: VARIABLE | Has Answer: true | Answer: 0
Game Ending: VARIABLE | Has Winner: false | Answer: 0
Game Starting: UNREVERSE | Has Answer: true | Answer: Lodestone
Game Ending: UNREVERSE | Has Winner: false | Answer: Lodestone
Race Starting: CRAFT | Material: TORCH | Amount: 64
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Mistletoe, Christmas Tree, Santa Hat
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Mistletoe, Christmas Tree, Santa Hat
Game Starting: CLICKABLE | Has Answer: true | Answer: gMiZqNrffw5Q
Game Ending: CLICKABLE | Has Winner: false | Answer: gMiZqNrffw5Q
Race Starting: PLACE | Material: NETHERRACK | Amount: 32
Game Starting: UNREVERSE | Has Answer: true | Answer: Composter
Game Ending: UNREVERSE | Has Winner: true | Winners: ItzDavidVZLA_(Time: 18.29s) | Answer: Composter
Race Starting: EAT | Material: BAKED_POTATO | Amount: 1
Game Starting: GUESS_THE_NUMBER | Has Answer: true | Answer: 1
Game Ending: GUESS_THE_NUMBER | Has Winner: false | Answer: 1
Game Starting: REACTION | Has Answer: true | Answer: Lapis
Game Ending: REACTION | Has Winner: false | Answer: Lapis
Race Starting: FURNACE | Material: COOKED_BEEF | Amount: 3
Game Starting: SHOPPINGLIST | Has Answer: true | Answer: Ornaments, Stocking, Sleigh
Game Ending: SHOPPINGLIST | Has Winner: false | Answer: Ornaments, Stocking, Sleigh
Game Starting: UNSCRAMBLE | Has Answer: true | Answer: Shroomlight
Game Ending: UNSCRAMBLE | Has Winner: false | Answer: Shroomlight
Game Starting: CLICKABLE | Has Answer: true | Answer: 6EFwLo4W5IQj
Game Ending: CLICKABLE | Has Winner: false | Answer: 6EFwLo4W5IQj
Race Starting: HUNT | Entity: SKELETON | Amount: 5
Game Starting: VARIABLE | Has Answer: true | Answer: 14
Game Ending: VARIABLE | Has Winner: false | Answer: 14
Race Starting: EAT | Material: BREAD | Amount: 1
Game Starting: VARIABLE | Has Answer: true | Answer: 7
Game Ending: VARIABLE | Has Winner: false | Answer: 7
Game Starting: UNREVERSE | Has Answer: true | Answer: Sword
Game Ending: UNREVERSE | Has Winner: false | Answer: Sword
Game Starting: REACTION | Has Answer: true | Answer: Moss
Game Ending: REACTION | Has Winner: false | Answer: Moss
Game Starting: TRIVIA | Has Answer: true | Answer: •Apples
Game Ending: TRIVIA | Has Winner: false | Answer: •Apples
Game Starting: HOVERABLE | Has Answer: true | Answer: Chicken
Game Ending: HOVERABLE | Has Winner: false | Answer: Chicken
Race Starting: PLACE | Material: DIRT | Amount: 16
